Antônio Nonato do Amaral	m 
Átila Barreira do Amaral	m 
Leopoldo Afrânio Bastos do Amaral	m 
Inácio Manuel Azevedo do Amaral	m 
José Gomes do Amaral	m 
Edgar Ferreira do Amaral	m 
Osvaldo Moura Brasil do Amaral	m 
Evaldo Amaral	m 
Antônio José Azevedo do Amaral	m 
Stélio Marcos Amarante	m 
José Adolfo Chaves de Amarante	m 
Geová José de Freitas Amarante	m 
Otávio Tarquínio de Sousa Amaranto	m 
Renato Fauvel Amary	m 
Mário Amato	m 
Jorge Americano	m 
Jamil Amiden	m 
Eládio de Amorim	m 
Celso Luís Nunes de Amorim	m 
Eduardo Alves do Amorim	m 
José de Albuquerque Amorim	m 
Merval Pimenta Amorim	m 
Ernandes Santos Amorim	m 
Antônio Augusto Junho Anastasia	m 
Alberto Andaló	m 
Jorge Alberto Anders	m 
José Bonifácio Borges de Andrada	m 
Antônio Carlos Ribeiro de Andrada	m 
José Bonifácio Lafayette de Andrada	m 
Martim Francisco Lafayette de Andrada	m 
Antônio Carlos Lafayette de Andrada	m 
Bonifácio José Tamm de Andrada	m 
Carlos de Morais Andrade	m 
Francisco Freire de Andrade	m 
José Tasso Oliveira Andrade	m 
Evandro Carlos de Andrade	m 
Carlos Auto Andrade	m 
Lígia Moelmann Doutel de Andrade	f 
Antônio Pais de Andrade	m 
Ademir Galvão Andrade	m 
Joaquim dos Santos Andrade	m 
Abelardo Marinho de Albuquerque Andrade	m 
Oscar Ilton de Andrade	m 
José Praxeres de Andrade	m 
Rafael Cincurá de Andrade	m 
Raimundo Araújo de Andrade	m 
José Joaquim Monteiro de Andrade	m 
Moacir Lopes de Andrade	m 
Darci Bessone de Oliveira Andrade	m 
Antônio César de Andrade	m 
Guilherme Meneses de Andrade	m 
Almir Bonfim de Andrade	m 
Aline Lemos Correia de Oliveira Andrade	f 
José Maurício de Andrade	m 
Antônio Ferreira de Andrade	m 
José Joaquim de Andrade	m 
Arnaldo de Sousa Pais de Andrade	m 
Auro Soares de Moura Andrade	m 
Segismundo Andrade	m 
João Válter de Andrade	m 
Conceição de Maria Carvalho de Andrade	f 
Armindo Marcílio Doutel de Andrade	m 
Dolor Ferreira de Andrade	m 
Ariston Correia Andrade	m 
Humberto Rodrigues de Andrade	m 
Sebastião Andrade	m 
Atos Vieira de Andrade	m 
José Resende de Andrade	m 
Mário Davi Andreazza	m 
Ângelo Angelim	m 
Patrícia Trindade De Angelis	f 
Ovídio Antônio De Angelis	m 
José Gualberto Tuga Martins Angerami	m 
Herculano Anghinetti	m 
Edigar Evangelista dos Anjos	m 
Antônio Martins Annibelli	m 
Antônio Annibelli	m 
Pedro Afonso Anschau	m 
José Juarez Antunes	m 
Leocádio de Almeida Antunes	m 
Fernando Antunes	m 
João de Deus Antunes	m 
